"#KateConwayisaJerk" (2015)	2015-????
"TeleMonegal" (2003) {(#6.39)}	2009
"Televizn� noviny" (1994) {(2009-12-23)}	2009
"Tell It to the Marines" (1959) {(#1.20)}	1960
"Temple Smash" (2009) {Episode 5 (#2.1)}	2010
"Ten huize van" (1957) {(1970-06-25)}	1970
"Ten urara" (1998) {(#1.113)}	1998
"Tenchi Muy�!" (1992) {Stupid Cupid (#3.12)}	1997
"Tenemos que hablar" (2013) {Solidarios}	2013
"Tenjho tenge" (2004) {Haiboku (#1.2)}	2004
"Tenko" (1981) {(#3.4)}	1984
"Tenshi mitai" (2003)	2003-????
"Terapie" (2011) {Dita - t�den prvn� (#1.5)}	2011
"Terenci a la fresca" (1981) {(1983-07-19)}	1983
"Terra d'escudella" (1976) {Viatge per Mallorca}	1977
"Terra Mater" (2011) {Australien - Im Reich der Roten K�ngurus (#1.159)}	2014
"Terra Mater" (2011) {Bionik - Die besten Ideen der Natur: Extreme (#1.82)}	2012
"Territoriya zabluzhdeniy" (2012) {(#1.93)}	????
"Terr�coles" (2013) {(#2.143)}	2015
"Terr�coles" (2013) {(#2.146)}	2015
"Tetsuko no heya" (1976) {(2015-01-14)}	2015
"Texaco Star Theatre Starring Milton Berle" (1948) {(#3.27)}	1951
"Texas" (1980) {(#1.497)}	1982
"TFI Friday" (1996) {(1997-10-10)}	1997
"Thadeusz" (2005) {(#1.4)}	2005
"Thadeusz" (2005) {(#3.2)}	2007
"Thadeusz" (2005) {(#6.7)}	2010
"Thank Your Lucky Stars" (1961) {(#2.22)}	1962
"That Regis Philbin Show" (1964) {(#1.27)}	1964
"That Regis Philbin Show" (1964) {(#1.48)}	1964
"That's Life!" (1973) {(#19.13)}	1992
"That's So Weird!" (2009) {Heist (#3.2)}	2011
"The $10,000 Pyramid" (1973) {(#11.34)}	1983
"The $10,000 Pyramid" (1973) {(1973-07-02)}	1973
"The $10,000 Pyramid" (1973) {(1975-08-15)}	1975
"The $10,000 Pyramid" (1973) {(1977-06-27)}	1977
"The $10,000 Pyramid" (1973) {(1983-04-21)}	1983
"The $10,000 Pyramid" (1973) {(1983-11-14)}	1983
"The $10,000 Pyramid" (1973) {(1985-02-06)}	1985
"The $10,000 Pyramid" (1973) {(1985-09-17)}	1985
"The $10,000 Pyramid" (1973) {(1986-02-19)}	1986
"The $10,000 Pyramid" (1973) {(1991-01-28)}	1991
"The 1997 US Open Tennis Championships" (1997)	1997-????
"The 3 Minute Update" (2012) {August 16, 2013 (#2.228)}	2013
"The 5th Quadrant" (2002) {One Nation... Invisible/Where O Werewolves (#1.8)}	2002
"The 700 Club" (1966) {(2013-12-03)}	2013
"The 700 Club" (1966) {(2014-05-27)}	2014
"The 700 Club" (1966) {(2015-03-19)}	2015
"The 700 Club" (1966) {God Mends a Broken Heart}	2013
"The 7PM Project" (2009) {(#1.169)}	2010
"The Acting Class" (2011) {Patrick Swayze's "Ghost" RIP (#1.3)}	2011
"The Admiral Broadway Revue" (1949) {(#1.6)}	1949
"The Adventures of Gulliver" (1968) {The Forbidden Pool (#1.5)}	1968
"The Adventures of Jimmy Neutron: Boy Genius" (2002) {Incredible Shrinking Town (#3.10)}	2006
"The Adventures of Ozzie & Harriet" (1952) {Losing Miss Edwards (#11.10)}	1962
"The Adventures of Sherlock Holmes" (1984) {A Scandal in Bohemia (#1.1)}	1984
"The Adventures of Swiss Family Robinson" (1998) {Captives: Part 1 (#1.13)}	1998
"The Adventures of Young Indiana Jones Documentaries" (2007) {Seeking Truth: The Life of Leo Tolstoy (#1.18)}	2007
"The Agenda with Steve Paikin" (2006) {Connecticut Massacre: Tragedy or Evil? (#7.78)}	2012
"The Airport Diary" (2012) {(#1.46)}	????
"The Alan Hamel Show" (1976) {(1977-11-01)}	1977
"The Alaskans" (1959) {Odd Man Hangs (#1.28)}	1960
"The Album Chart Show" (2006) {(#3.5)}	2007
"The Alejandro Hern�ndez Show" (2009) {C�mo saber qui�n mir� tu perfil: la verdad + El barrio Mamera (#1.7)}	2009
"The Alternative Comedy Experience" (2013)	2013-????
"The Amanda Show" (1999) {(2001-03-17)}	2001
"The Amazing Race Philippines" (2012) {Leg 6 Episode 6 (#2.36)}	2014
"The Amazing World of Gumball" (2011) {The Shell (#3.20)}	2014
"The Amerikans" (2011) {Napkin Tales (#1.7)}	2011
"The Angel Files" (2002) {Pilot Movie}	2002
"The Antonio Treatment" (2009) {Photographers Live/Work Loft (#2.2)}	2011
"The Apprentice" (2004) {Ad Hawk (#12.8)}	2012
"The Apprentice" (2005) {Flip It in Essex (#8.7)}	2012
"The Army Game" (1957) {The Marshall's Baton (#2.7)}	1958
"The Art of Living" (2006) {Truck Drivers/Theatre Group}	2007
"The Arthur Murray Party" (1950) {(#8.5)}	1958
"The Ask BonBon Show" (2015) {Business (#1.7)}	2015
"The Atheist Experience" (1997) {(#1.230)}	2002
"The Atheist Experience" (1997) {(#1.420)}	2005
"The Atheist Experience" (1997) {(#1.805)}	2013
"The Atheist Experience" (1997) {(#1.808)}	2013
"The Avengers" (1961) {Epic (#5.11)}	1967
"The Bachelor" (2002) {(#18.5)}	2014
"The Bachelorette" (2003) {(#2.4)}	2004
"The Backyardigans" (1998) {The Masked Retriever (#3.19)}	2008
"The Barry Humphries Show" (1976) {(#1.3)}	1977
"The Beachcombers" (1972) {Songwriters (#8.1)}	1979
"The Bearded Lady" (2015) {The Bearded Lady Respects Herself (#1.7)}	2015
"The Best Friends Club" (2013) {Chuck Norris (#1.9)}	2013
"The Best Friends Club" (2013) {Easter Funday (#2.11)}	2014
"The Big Bang Theory" (2007) {The Friendship Turbulence (#7.17)}	2014
"The Big Review" (2012) {Fall Trailer Park (#1.10)}	2012
"The Big Sleepy Dead Reckoning" (2014) {The Job (#1.4)}	2014
"The Biggest Liar" (2012)	2012-2013
"The Bill Cunningham Show" (2011) {Stop Partying and Start Parenting! (#5.10)}	2015
"The Bill" (1984) {479 (#23.9)}	2007
"The Bill" (1984) {A Bunch of Fives (#13.61)}	1997
"The Bill" (1984) {And Nothing But (#12.46)}	1996
"The Bill" (1984) {Burnside Knew My Father (#6.21)}	1990
"The Bill" (1984) {Community Relations (#4.19)}	1988
"The Bill" (1984) {Puzzled (#14.119)}	1998
"The Bill" (1984) {The Fortress (#9.32)}	1993
"The Bill" (1984) {The Lives of Brian (#11.78)}	1995
"The Bobby Goldsboro Show" (1973) {(1974-10-12)}	1974
"The Bold and the Beautiful" (1987) {(#1.1556)}	1993
"The Bold and the Beautiful" (1987) {(#1.1925)}	????
"The Bold and the Beautiful" (1987) {(#1.2707)}	1998
"The Bold and the Beautiful" (1987) {(#1.2996)}	1999
"The Bold and the Beautiful" (1987) {(#1.3161)}	1999
"The Bold and the Beautiful" (1987) {(#1.3753)}	2002
"The Bold and the Beautiful" (1987) {(#1.3897)}	2002
"The Bold and the Beautiful" (1987) {(#1.3943)}	2002
"The Bold and the Beautiful" (1987) {(#1.4407)}	2004
"The Bold and the Beautiful" (1987) {(#1.4497)}	2005
"The Bold and the Beautiful" (1987) {(#1.4516)}	2005
"The Bold and the Beautiful" (1987) {(#1.4763)}	2006
"The Bold and the Beautiful" (1987) {(#1.4870)}	2006
"The Bold and the Beautiful" (1987) {(#1.5525)}	2009
"The Bold and the Beautiful" (1987) {(#1.5790)}	2010
"The Bold and the Beautiful" (1987) {(#1.5891)}	2010
"The Bold and the Beautiful" (1987) {(#1.6446)}	2012
"The Bold and the Beautiful" (1987) {(#1.6975)}	2014
"The Bold and the Beautiful" (1987) {(#1.6987)}	2015
"The Bold and the Beautiful" (1987) {(#1.735)}	1990
"The Bonnie Hunt Show" (2008) {(2009-05-05)}	2009
"The Boob Show" (2011) {Hey Sarah Palin (#1.5)}	2011
"The Brady Bunch" (1969) {Adios, Johnny Bravo (#5.1)}	1973
"The Brittas Empire" (1991) {Mums and Dads (#2.5)}	1992
"The Broker's Man" (1997)	1997-????
"The Bryan Davies Show" (1962)	1962-1963
"The Bugs Bunny Show" (1960) {(#1.10)}	1960
"The Cafe" (2011/I) {Stags or Hens (#2.6)}	2013
"The Campbells" (1986) {Bird of Paradise (#3.19)}	1990
"The Car Coach" (2011) {Purchasing a Personal Car Buffer}	2012
"The Carol Burnett Show" (1967) {(#5.23)}	1972
"The Case" (2011) {(#1.5)}	2011
"The Cedar Tree" (1976) {Gerald: Part 1 (#1.11)}	1976
"The Century of the Self" (2002) {There Is a Policeman Inside All Our Heads: He Must Be Destroyed (#1.3)}	2002
"The Century: America's Time" (1999) {1953-1960: Happy Days (#1.9)}	1999
"The Charlie Chester Show" (1949) {(#7.5)}	1960
"The Chevy Chase Show" (1993) {(#1.2)}	1993
"The Chew" (2011) {Thanksgiving Spectacular (#2.52)}	2012
"The Choir" (2013/I)	2013-????
"The Chris Gethard Show: Public Access" (2011) {I Can Do Bad All by Myself (#1.139)}	2014
"The Chris Gethard Show: Public Access" (2011) {The Greatest Rivalry in Sports (#1.24)}	2011
"The Chris Rock Show" (1997) {(#3.3)}	1998
"The Cinema Snob" (2007) {Thunder of the Gigantic Serpent (#1.51)}	2009
"The Cinema Snob" (2007) {Turkish First Blood (#6.44)}	2014
"The Circuit" (2008) {(#2.16)}	2009
"The Clock" (1949) {Woman in the Road (#1.42)}	1950
"The Colbert Report" (2005) {Al Franken (#2.34)}	2006
"The Colbert Report" (2005) {Clay Shirky (#4.43)}	2008
"The Colbert Report" (2005) {David Sirota (#4.70)}	2008
"The Colbert Report" (2005) {Neil DeGrasse Tyson (#10.75)}	2014
"The Colbert Report" (2005) {Sean Carroll (#9.30)}	2012
"The Colbert Report" (2005) {Shepard Fairey (#5.8)}	2009
"The Colgate Comedy Hour" (1950) {(#5.6)}	1954
"The Comfort Zone" (2013) {I Have a Crush... And I Shouldn't (#1.17)}	2013
"The Company of Five" (1968) {This Isn't Just One of Those Physical Things (#1.4)}	1968
"The Contract" (1988) {(#1.3)}	1988
"The Cool Beans Television Show" (2014) {The Reviews Are In (#1.2)}	2014
"The Cops" (1998) {(#2.4)}	1999
"The Coral Ridge Hour" (2001) {(#1.1)}	2001
"The Countdown on Reelz" (2012) {Life's Most Embarrassing Moments (#1.10)}	2012
"The Crossroads with Martin Anthony" (2009) {(#1.35)}	2009
"The Culture Show" (2004) {(#6.2)}	2007
"The Cut Price Comedy Show" (1982) {(#1.8)}	1982
"The D.A." (1971) {The People vs. Lindsey (#1.7)}	1971
"The Daily 10" (2006) {(2006-06-12)}	2006
"The Daily 10" (2006) {(2007-12-04)}	2007
"The Daily 10" (2006) {(2009-01-15)}	2009
"The Daily Buzz" (2002) {(2006-12-21)}	2006
"The Daily Habit" (2005) {(2011-06-15)}	2011
"The Daily Habit" (2005) {(2011-11-10)}	2011
"The Daily Habit" (2005) {Ruben Alcantara (#2.240)}	2007
"The Daily Orbit" (2012) {Don't Text and Walk (#2.95)}	2013
"The Daily Politics" (2003) {(2005-10-04)}	2005
"The Daily Share" (2015) {(2015-04-06)}	2015
"The Daily Show" (1996) {Carmen Electra (#3.82)}	1999
"The Daily Show" (1996) {Chris Wallace (#9.53)}	2004
"The Daily Show" (1996) {Elayne Boosler (#1.138)}	1997
"The Daily Show" (1996) {Grover Norquist (#17.72)}	2012
"The Daily Show" (1996) {Isaac Hayes (#2.17)}	1997
"The Daily Show" (1996) {Jodie Foster (#12.113)}	2007
"The Daily Show" (1996) {John Malkovich (#7.133)}	2003
"The Daily Show" (1996) {Kathleen Sebelius (#19.5)}	2013
"The Daily Show" (1996) {Tom Wopat & John Schneider (#1.117)}	1997
"The Daily Show" (1996) {Vincent D'Onofrio (#1.71)}	1997
"The Danny Kaye Show" (1963) {(#1.2)}	1963
"The David Frost Show" (1969) {(#3.56)}	1970
"The Dawson Watch" (1979) {Money (#1.3)}	1979
"The Dean Martin Show" (1965) {(#1.18)}	1966
"The Dean Martin Summer Show Starring Your Host Vic Damone" (1967) {(#1.2)}	1967
"The Denial Show" (2010) {eHarmony (#1.18)}	2010
"The Denial Show" (2010) {Hulk Hogan (#1.41)}	2010
"The Denial Show" (2010) {The Denial Show: David Hasselhoff (#2.28)}	2011
"The Denial Show" (2010) {The Denial Show: Swamp People (#3.16)}	2012
"The Dick Cavett Show" (1968) {(1971-05-06)}	1971
"The District" (2000) {Explicit Activities (#3.3)}	2002
"The Doctor" (1952) {The Guest (#1.10)}	1952
"The Doctors" (1963) {(#1.1247)}	1967
"The Doctors" (1963) {(#1.1256)}	1967
"The Doctors" (1963) {(#1.1288)}	1967
"The Doctors" (1963) {(#1.1900)}	1970
"The Doctors" (2008) {500-Pound Woman's Intervention/Kindergarten Sex Scandal/Severe Reaction to Heartburn Medication/Top Secret for Sexy Legs (#6.146)}	2014
"The Doctors" (2008) {Celebrity Beauty Secrets from Every Decade (#5.47)}	2012
"The Doctors" (2008) {Extreme Sibling Rivalry Caught on Camera!/Do You Have Red Skin Syndrome?/Can You Be Fired by Your Doctor?/DYI Makeup Trends (#8.49)}	2015
"The Doctors" (2008) {How to Avoid Awkward Health Situations (#5.5)}	2012
"The Doctors" (2008) {Naomi Judd's Panic Attacks/Erin Brockovich/Family Survives Cruise Ship Disaster (#6.33)}	2013
"The Donna Reed Show" (1958) {The Stones Go to Hollywood (#3.19)}	1961
"The Dr. Oz Show" (2009) {CSI: Cold and Flu}	2010
"The Dr. Oz Show" (2009) {Turbo Fire Your Energy in Just 10 Days (#6.84)}	2015
"The Dr. Oz Show" (2009) {You Are Not Alone: What's Living Under Your Roof - Part 1}	2010
"The Eamonn Andrews Show" (1964) {(#1.30)}	1965
"The Early Show" (1999) {(2006-08-21)}	2006
"The Early Show" (1999) {(2011-07-25)}	2011
"The Eddie Fisher Show" (1957) {(1957-12-24)}	1957
"The Edge of Night" (1956) {(#1.1425)}	1961
"The Edge of Night" (1956) {(#1.188)}	1956
"The Edge of Night" (1956) {(#1.4078)}	1971
"The Edge of Night" (1956) {(#1.503)}	1958
"The Edge" (2002/I)	2002-????
"The Education of Max Bickford" (2001) {I Never Schlunged My Father (#1.13)}	2002
"The Einstein Factor" (2004) {(#2.16)}	2005
"The Electric Company" (1971) {123B (#6.123)}	1977
"The Electric Company" (1971) {88 (#1.88)}	1972
"The Emperor's New School" (2006) {Aww, Nuts!/Curse of the Moonbeast (#2.8)}	2007
"The Enchanted" (2015) {Thief (#1.7)}	2015
"The Enid Blyton Adventure Series" (1996) {Ship of Adventure (#1.6)}	1996
"The Eustace Bros." (2003) {(#1.4)}	2003
"The F.B.I." (1965) {Confessions of a Madman (#9.22)}	1974
"The Fabulous Life of" (2003) {Hot Couples}	2005
"The Fabulous Picture Show" (2006) {DTFF Preview Special (#4.20)}	2010
"The Fabulous Picture Show" (2006) {Pomegranates & Myrrh (#3.9)}	2009
"The Fake Trailer" (2014)	2014-????
"The Fall Guy" (1981) {Losers Weepers: Part 2 (#4.2)}	1984
"The Family" (2008) {Cup of Tea (#2.1)}	2009
"The Family: Teen Stories" (2008) {Wheels (#1.12)}	2008
"The Fantastic Voyages of Sinbad the Sailor" (1998) {Land of the Tiny Warriors}	????
"The Feathered Serpent" (1976) {(#2.4)}	1978
"The First 48" (2004) {Gangs of Little Havana/Execution in Coconut Grove (#1.1)}	2004
"The Five" (2011) {(2013-06-10)}	2013
"The Five" (2011) {(2014-11-05)}	2014
"The Fowler Show" (2014) {X-Men Movie Review (#1.2)}	2014
"The Freddy Jenkins Show" (2014) {My Bloody Valentine Remake (#1.6)}	2014
"The French Chef" (1962) {The French Chef: Veal Dinner In Half An Hour (#3.7)}	1964
"The Fresh Beat Band" (2009) {Chimps in Charge (#3.8)}	2011
"The Freshmen" (2002) {(2011-09-12)}	2011
"The Freshmen" (2002) {(2013-07-01)}	2013
"The Fugitive of Joseon" (2013) {(#1.20)}	2013
"The Full Man" (1964)	1964-????
"The Gadget Show" (2004) {(#14.16)}	2010
"The Gaming Historian" (2008) {Sega Mega Drive/Genesis: Collected Works Review (#5.12)}	2015
"The Gentlemen's League" (2010) {The Combine (#1.6)}	2010
"The George Burns and Gracie Allen Show" (1950) {September and May (#8.5)}	1957
"The George Gobel Show" (1954) {(#4.7)}	1957
"The George Wendt Show" (1995) {Rash Behavior (#1.4)}	1995
"The Getaway" (2013) {Aziz Ansari in Hong Kong (#1.2)}	2013
"The Girls Next Door" (2005) {Wedding Belles (#4.10)}	2008
"The Go!! Show" (1964) {(#1.66)}	1965
"The Go!! Show" (1964) {(#1.82)}	1966
"The Go!! Show" (1964) {Go!! Awards 1965 (#1.75)}	1966
"The Godfathers" (1971) {Full House (#1.37)}	1972
"The Golden Age" (1967) {England (#2.1)}	1967
"The Golden Age" (1967) {The Arts and Leisure (#2.8)}	1967
"The Golden Girls" (1985) {Blind Ambitions (#1.23)}	1986
"The Golden Shot" (1967) {(#2.49)}	1969
"The Good Guys" (1992) {Find the Lady (#2.8)}	1992
"The Good Guys" (2010) {Cop Killer (#1.19)}	2010
"The Good Old Days" (1953) {(1980-07-02)}	1980
"The Governor" (1995) {(#1.3)}	1995
"The Governor" (1995) {(#1.4)}	1995
"The Grapes of Laugh with Richard Chassler" (2014) {Gene Pompa (#1.8)}	2014
"The Grave Generation" (2016) {Back from the Dead (#1.5)}	????
"The Gravy" (2007) {(#2.11)}	????
"The Great Biker Build Off" (2003) {Billy Lane vs. Indian Larry (#1.3)}	????
"The Great Food Truck Race" (2010) {Let's Get Rolling! (#1.1)}	2010
"The Great Outdoors with Tom Stienstra" (2005) {Tom's Favorite Fishing Spots (#1.18)}	2005
"The Green Room with Paul Provenza" (2010) {(#1.2)}	2010
"The Growing Pains of PC Penrose" (1975)	1975-????
"The Guiding Light" (1952) {(#1.14909)}	????
"The Guiding Light" (1952) {(#1.15505)}	2008
"The Guiding Light" (1952) {(#1.15699)}	2009
"The Guiding Light" (1952) {(1998-06-02)}	1998
"The Gulf Road Show Starring Bob Smith" (1948) {(1949-06-23)}	1949
"The Haunting of Cassie Palmer" (1982) {(#1.2)}	1982
"The Helmetcam Show" (1996) {99-11B (#4.17)}	1999
"The Henderson Kids" (1985) {Nature's Way: Part 1 (#1.7)}	1985
"The High Chaparral" (1967) {Stinky Flanagan (#2.21)}	1969
"The Hilarious House of Frightenstein" (1971) {(#1.67)}	1971
"The Hill" (2015) {Tangled Webs Woven (#1.6)}	????
"The Hills: Fashion Wrap-Up" (2008) {Style Do's and Dont's of Dating (#1.3)}	2008
"The Hollywood Greats" (1977) {Richard Harris}	2004
"The Hollywood Squares" (1965) {(#1.5)}	1966
"The Hollywood Squares" (1965) {(#2.113)}	1968
"The Hollywood Squares" (1965) {(1970-02-04)}	1970
"The Hollywood Squares" (1965) {(1970-09-22)}	1970
"The Hook Up" (2013) {Tanya (#1.13)}	2014
"The Horizon Series" (2009) {(#4.1)}	2014
"The Hot 10" (2011) {(#1.25)}	2011
"The Hour" (2004) {(#8.144)}	2012
"The Hour" (2004) {(2006-10-09)}	2006
"The Hour" (2004) {(2009-11-12)}	2009
"The Hub" (2010) {(#2.2)}	2012
"The Hunted" (2001) {Mission vs. Lunch}	2010
"The Improv Podcast" (2015) {(#1.8)}	2015
"The Inch Man" (1951) {That Sudden Something (#1.1)}	1951
"The Inn" (2013)	2013-????
"The Insider" (2004) {(2014-12-31)}	2014
"The Inspectors" (2015) {More Than a Feeling (#1.22)}	????
"The Jack Paar Program" (1962) {(#3.9)}	1964
"The Jane Games" (2014) {A-Harmony or Clash.Com? (#1.3)}	2014
"The Jay Leno Show" (2009) {(#1.1)}	2009
"The Jbaer Show" (2010) {Power Trip Trailer (#3.6)}	2012
"The Jenny McCarthy Show" (1997) {(#1.5)}	1997
"The Jeremy Kyle Show" (2005) {(2009-04-06)}	2009
"The Jerry Springer Show" (1991) {(2011-11-21)}	2011
"The Jerry Springer Show" (1991) {(2012-09-27)}	2012
"The Jerry Springer Show" (1991) {Back Off My Jailbird Lover!}	2009
"The Jerry Springer Show" (1991) {Couples Get Nasty}	2014
"The Jerry Springer Show" (1991) {Lesbian Rebound}	2014
"The Jerry Springer Show" (1991) {Mistresses Smoked Out (#25.31)}	2015
"The Jerry Springer Show" (1991) {My Ex Still Wants My Sex}	2012
"The Jetsons" (1962) {Elroy in Wonderland (#2.21)}	1985
"The Jimmy Durante Show" (1954) {(#1.21)}	1955
"The Joe Longthorne Show" (1988) {(#1.4)}	1988
"The Joey Bishop Show" (1961) {Home Sweet Home (#1.16)}	1962
"The Joey Bishop Show" (1961) {Joey Insults Jack E. Leonard (#3.18)}	1964
"The Joey Bishop Show" (1967) {(#1.13)}	1967
"The Joey Bishop Show" (1967) {(#4.27)}	1969
"The John Davidson Show" (1980) {(1980-07-20)}	1980
"The Journal Editorial Report" (2004) {(2014-05-31)}	2014
"The Joy Behar Show" (2009) {(2011-11-07)}	2011
"The Judge" (1986/II) {Mommy Dearest (#4.59)}	1989
"The Julius LaRosa Show" (1955) {(#1.11)}	1955
"The Kelly File" (2013) {(2013-10-23)}	2013
"The Kelly File" (2013) {(2013-11-13)}	2013
"The Kelly File" (2013) {(2015-11-10)}	2015
"The Key of Awesome" (2009) {Banned Commercial: The Chick Dick}	2014
"The Knee Diaries" (2007)	2007-????
"The Lampies" (2001) {Who Dares Whines (#1.21)}	2001
"The Last Days of World War II" (2005) {June 24-June 30: The End in Sight (#1.19)}	2005
"The Last Word with Lawrence O'Donnell" (2010) {(2014-05-19)}	2014
"The Last Word with Lawrence O'Donnell" (2010) {(2014-10-30)}	2014
"The Last Word with Lawrence O'Donnell" (2010) {(2014-12-17)}	2014
"The Late Late Show with Craig Ferguson" (2005) {(#2.194)}	2006
"The Late Late Show with Craig Ferguson" (2005) {(#2.51)}	2005
"The Late Late Show with Craig Ferguson" (2005) {(#2.78)}	2006
"The Late Late Show with Craig Ferguson" (2005) {(#4.66)}	2007
"The Late Late Show with Craig Ferguson" (2005) {(#6.196)}	2010
"The Late Late Show with Craig Ferguson" (2005) {(2013-05-13)}	2013
"The Late Late Show with Craig Ferguson" (2005) {William Shatner/Jessica St. Clair (#10.166)}	2014
"The Late Late Show with Craig Kilborn" (1999) {(1999-08-02)}	1999
"The Late Late Show with Craig Kilborn" (1999) {(2004-05-26)}	2004
"The Late Late Show with Craig Kilborn" (1999) {(2004-07-15)}	2004
"The Late Late Show with James Corden" (2015) {Trevor Noah/Odette Annable/Eric Idle (#1.56)}	2015
"The Law Centre" (1978) {Fly Away, Peter, Fly Away, Paul (#1.6)}	1978
"The Lazarus Man" (1996) {Killer (#1.15)}	1996
"The League of Super Evil" (2009) {00-Geddon}	2012
"The League of Super Evil" (2009) {Rock-A-Bye Voltar/iDestruct (#1.6)}	2009
"The Legend of Gavin Tanner" (2014) {The Legend of Gavin and the Big Fight (#1.5)}	2014
"The Legend of Korra" (2012) {Long Live the Queen (#3.10)}	2014
"The Legend of Neil" (2008) {Every Hero Needs a Montage (#3.5)}	2010
"The Legend of Prince Valiant" (1991) {The Eyes of the Serpent (#2.27)}	1993
"The Life and Legend of Wyatt Earp" (1955) {Horse Thief (#6.15)}	1961
"The Life of Riley" (1949) {Babs and Simon Step Out (#1.2)}	1949
"The Life of Riley" (1975) {The Visitors (#1.5)}	1975
"The Liquidator" (2012) {The Blind Side (#4.21)}	2015
"The Lisa Maxwell Show" (1991) {(#1.3)}	1991
"The Little and Large Show" (1978) {(#9.1)}	1989
"The Little Couple" (2009) {Grand Opening Weekend (#5.9)}	2012
"The Littles" (1983) {The Little Amazon Queen (#3.1)}	1985
"The Littlest Hobo" (1963) {Come Next Fall Session (#1.4)}	1963
"The Lively Arts" (1975) {But Still We Sing}	1979
"The Lizzie Bennet Diaries" (2012) {Royal Dining (#3.3)}	2012
"The London Programme" (1975) {Election 92 - The Nation Decides: Part 4}	1992
"The Louise Log" (2007) {How to Be a MILF (#2.10)}	2011
"The Love Me Cat Show" (2013) {HOT Science with Angie Greenup (#1.52)}	2014
"The Love Me Cat Show" (2013) {Yo Quiero with Carlos Alazraqui (#1.23)}	2013
"The Lyons Den" (2012) {Watch Me, Watch You, Watch Him (#3.3)}	2013
"The Machine That Changed the World" (1992) {The World at Your Fingertips (#1.5)}	????
"The Magazine" (2013)	2013-????
"The Magic Boomerang" (1965) {My Friend Higgins (#1.36)}	1966
"The Magic Door" (1962)	1962-1982
"The Making of Une Lib�ration" (2015) {Production, Part 1 (#1.5)}	2015
"The Man from U.N.C.L.E." (1964) {The Deadly Toys Affair (#2.9)}	1965
"The Many Adventures of Mr. Mailman" (2005) {France (#1.7)}	2006
"The Many Wives of Patrick" (1976) {Happy Families (#1.7)}	1976
"The Marilyn Denis Show" (2011) {Winter BBQ 101}	2013
"The Marriage" (1954) {(#1.5)}	1954
"The Marshal of Gunsight Pass" (1950) {(#1.22)}	1950
"The Marty Stuart Show" (2008) {The Quebe Sisters Band (#3.5)}	2011
"The Marvelous Misadventures of Flapjack" (2008) {Parfait Storm/K'nuckles, Don't Be a Hero! (#3.8)}	2010
"The Master Shot" (2016)	2016-????
"The Match Game" (1962) {(#6.18)}	1967
"The Match Game" (1962) {(#6.277)}	1968
"The Match Game" (1962) {Dr. Joyce Brothers & Hal Holbrook (#5.254)}	1967
"The Match Game" (1962) {Fannie Flagg & Noel Harrison (#5.104)}	1967
